id,bill_id,customer_id,invoice_date,year,month,total_rent_cost,received_total_rent_cost,pending_rent_cost,actual_total_security_deposit_amount,received_total_security_deposit_amount,pending_security_amount,received_total_processing_fee,received__total_installation_fee,followup_status,remarks,is_paid_total_amount,invoice_status,due_date,tax,discount_amount,discount_type,discount_reason,Late_Payment_Charge,invoice_mail_status,invoice_sms_status
463,,PR0135,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
464,,PR0140,,2018,Aug,1680.35,0.00,2100.00,0.00,0.00,0,0.00,0.00,,,0,,,419.65,0,0,,0.00,1,0
465,,PR0143,,2018,Aug,2390.10,0.00,3000.01,0.00,0.00,0,0.00,0.00,,,0,,,609.91,0,0,,0.00,1,0
466,,PR0145,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
467,,PR0148,,2018,Aug,937.50,0.00,1200.00,0.00,0.00,0,0.00,0.00,,,0,,,262.50,0,0,,0.00,1,0
468,,PR0151,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
469,,PR0154,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
470,,PR0178,,2018,Aug,1133.47,0.00,1399.99,0.00,0.00,0,0.00,0.00,,,0,,,266.52,0,0,,0.00,1,0
471,,PR0180A,,2018,Aug,1562.50,0.00,2000.00,0.00,0.00,0,0.00,0.00,,,0,,,437.50,0,0,,0.00,1,0
472,,PR0187,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
473,,PR0194,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
474,,PR0196,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
475,,PR0200,,2018,Aug,1101.69,0.00,1299.99,0.00,0.00,0,0.00,0.00,,,0,,,198.30,0,0,,0.00,1,0
476,,PR0201,,2018,Aug,762.71,0.00,900.00,0.00,0.00,0,0.00,0.00,,,0,,,137.29,0,0,,0.00,1,0
477,,PR0202,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
478,,PR0209,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
479,,PR0225,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
480,,PR0229,,2018,Aug,592.37,0.00,699.00,0.00,0.00,0,0.00,0.00,,,0,,,106.63,0,0,,0.00,1,0
481,,PR0235,,2018,Aug,508.47,0.00,599.99,0.00,0.00,0,0.00,0.00,,,0,,,91.52,0,0,,0.00,1,0
482,,PR0249,,2018,Aug,1100.84,0.00,1298.99,0.00,0.00,0,0.00,0.00,,,0,,,198.15,0,0,,0.00,1,0
483,,PR0270,,2018,Aug,593.22,0.00,700.00,0.00,0.00,0,0.00,0.00,,,0,,,106.78,0,0,,0.00,1,0
